Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2000","2000","tonnes","347667","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2000","2000","tonnes","57219","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2000","2000","tonnes","188138","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2000","2000","tonnes","335210","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2000","2000","tonnes","148988","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2000","2000","tonnes","280963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2001","2001","tonnes","557788","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2001","2001","tonnes","36339","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2001","2001","tonnes","108140","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2001","2001","tonnes","236640","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2001","2001","tonnes","213907","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2001","2001","tonnes","176345","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2002","2002","tonnes","472297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2002","2002","tonnes","44675","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2002","2002","tonnes","112835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2002","2002","tonnes","303567","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2002","2002","tonnes","304008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2002","2002","tonnes","137282","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2003","2003","tonnes","469266","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2003","2003","tonnes","231036","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2003","2003","tonnes","149630","A","Aggregate, may include official, semi-official, estimated or calculated data"
