Quiz_1,MidTerm,Quiz_2,FinalTerm,Total
2,0,0,9,11
0,0,0,0,0
0,0,0,0,0
13,27,10.75,35.5,86.25
11,25,9.5,36,81.5
9.5,25.5,4.5,23.25,62.75
4,8.5,4,3.5,20
10.5,26.25,9.25,33.25,79.25
5.5,10.75,0,0,16.25
4.5,16.5,4.5,22.25,47.75
5,13,4.5,20.25,42.75
6.5,19.5,10.75,25.75,62.5
6.75,19.75,8.5,20,55
8.75,26.5,5.5,28,68.75
7,14.75,5.5,24,51.25
4.5,17,4.5,33,59
8.5,20.75,5.5,34.5,69.25
4.5,7.5,3,25.75,40.75
3,17.25,0,35.25,55.5
10.5,28.5,10.5,0,49.5
4,16.5,3,22.5,46
10,15.5,6,28.25,59.75
7.5,14.75,7.25,25.75,55.25
6,15.5,4,20,45.5
4,14.5,3,23,44.5
6,17,11,28.75,62.75
10.5,24,8,30.5,73
6,14.5,6,26.5,53
3.5,12,4,20,39.5
6.5,14,6.5,20.5,47.5
11.5,23.5,9,30.5,74.5
3,13,4.5,27,47.5
6.5,15.5,2.5,20,44.5
3.5,6,4,2.5,16
6,23.5,0,0,29.5
0,10.5,0,0,10.5
