age,weight,height,gender,likeness
27.0,76,170.688,Male,Biryani
41.0,70,165,Male,Biryani
29.0,80,171,Male,Biryani
27.0,102,173,Male,Biryani
29.0,67,164,Male,Biryani
28.0,46,174,Female,Biryani
27.0,64.3,151,Female,Biryani
34.0,98,176.5,Male,Biryani
32.0,87.5,181,Male,Biryani
22.0,80,184.5,Male,Biryani
29.0,65,163.5,Male,Pakora
29.0,78,176,Male,Samosa
23.0,62,178,Male,Samosa
28.0,74,168,Male,Biryani
25.0,102,165,Male,Biryani
27.0,78,174,Male,Samosa
33.0,93,162,Male,Biryani
28.0,68,176.5,Male,Samosa
21.0,71.5,156,Male,Biryani
25.0,135,185.9,Male,Biryani
24.0,82,183,Male,Samosa
30.0,70,165,Female,Biryani
30.0,60,169,Male,Pakora
32.0,84.5,171,Male,Biryani
30.0,65,154.5,Female,Biryani
25.0,70,178,Male,Biryani
34.0,59,171,Male,Pakora
32.0,78,165,Male,Biryani
24.0,68,173,Male,Biryani
30.0,62,161.544,Female,Biryani
21.0,58,155,Female,Samosa
31.0,102.3,173.7,Male,Biryani
22.0,64,162.5,Male,Samosa
19.0,50,164,Male,Samosa
30.0,75,164,Male,Samosa
27.0,77,170,Male,Biryani
34.0,82.72,177.8,Male,Samosa
24.0,93,177,Male,Biryani
26.0,55,164.5,Male,Samosa
22.0,50,155,Male,Biryani
35.0,75,165,Female,Biryani
27.0,64,176,Male,Pakora
27.0,85,186,Male,Biryani
27.0,65,155.4,Male,Biryani
30.0,84,178.5,Male,Pakora
44.0,85,155.7,Male,Biryani
23.0,53,165,Male,Samosa
48.0,90,158.5,Female,Samosa
28.0,79,151,Male,Pakora
24.0,68,170,Male,Biryani
40.0,85,182,Male,Samosa
32.0,79,182,Male,Biryani
29.0,50.9,176.7,Female,Biryani
27.0,68.5,167.6,Male,Biryani
26.0,130,172.72,Male,Samosa
30.0,63,180,Male,Samosa
27.0,93,172,Male,Biryani
23.0,59,170.68,Male,Biryani
28.0,76,155,Male,Biryani
22.0,76,175,Male,Biryani
23.0,60,156,Male,Biryani
26.0,63,181,Male,Biryani
30.0,60,164,Male,Biryani
31.0,75,173,Male,Biryani
30.0,70,183,Male,Biryani
21.0,65,185,Male,Samosa
20.0,70,152.4,Male,Biryani
26.0,55,154,Female,Biryani
35.0,65,170,Male,Biryani
38.0,72.6,137,Male,Pakora
27.0,55,176,Male,Pakora
27.0,46,170,Female,Biryani
38.0,62,160,Female,Biryani
25.0,72.5,173.3,Male,Biryani
25.0,55.5,180,Male,Biryani
24.0,70,179,Male,Biryani
24.0,86,157,Male,Biryani
22.0,52,182.88,Male,Biryani
25.0,43,156,Female,Samosa
32.0,61.5,155.48,Male,Biryani
22.0,76,154,Male,Biryani
27.0,60,160,Female,Biryani
22.0,62,182.88,Male,Biryani
37.0,77,167.64,Male,Biryani
30.0,65,167.6,Female,Biryani
27.0,50,163,Male,Pakora
33.0,91,160,Male,Biryani
25.0,75,168,Male,Pakora
38.0,81.5,173.75,Male,Biryani
25.0,88,183,Male,Samosa
21.0,60,170,Male,Samosa
31.0,86,164.2,Male,Biryani
24.0,87,173,Male,Biryani
25.0,70,150,Male,Biryani
18.0,55.6,176,Male,Biryani
24.0,86,170.18,Male,Pakora
35.0,82,173,Male,Biryani
44.0,70,176.78,Male,Biryani
30.0,60,165,Female,Pakora
32.0,50,169.1,Male,Biryani
25.0,62,181,Male,Pakora
29.0,71,180,Male,Biryani
24.0,55,175,Male,Biryani
29.0,78,179,Male,Pakora
35.0,72,164,Male,Biryani
46.0,75,164.6,Male,Samosa
32.0,10.92,159,Male,Biryani
27.0,57,164.5,Female,Samosa
25.0,90,150.5,Male,Biryani
29.0,65,167.64,Female,Pakora
37.0,68,179.832,Male,Biryani
32.0,74,170.5,Male,Biryani
20.0,52,170.6,Male,Biryani
32.0,51,157.48,Female,Biryani
28.0,76,181,Male,Pakora
27.0,82,170,Male,Samosa
30.0,75,170.5,Male,Biryani
31.0,86,189,Male,Pakora
27.0,80,178,Male,Pakora
27.0,51,160,Male,Samosa
29.0,78,180,Male,Biryani
20.0,54,176,Male,Pakora
31.0,85,179.5,Male,Biryani
27.0,58,167.5,Female,Biryani
68.0,68,171,Male,Pakora
40.0,97,173.7,Male,Pakora
24.0,66,167.64,Male,Biryani
25.0,47,150.5,Female,Biryani
24.0,65,179,Male,Biryani
26.0,60,161.3,Male,Samosa
30.0,90,166,Male,Biryani
31.0,40,148,Female,Biryani
36.0,62,167.5,Male,Biryani
30.0,65,170,Male,Biryani
19.0,55.2,167.64,Male,Biryani
23.0,71,176,Male,Samosa
25.0,55,170.68,Male,Biryani
27.0,54,167,Male,Pakora
28.0,161,173,Male,Samosa
39.0,102,155.448,Male,Biryani
43.0,85,182.8,Male,Samosa
25.0,59,170.688,Male,Biryani
28.0,83,191.5,Male,Biryani
28.0,46,162.56,Female,Biryani
20.0,53,144,Female,Biryani
23.0,62,173.736,Female,Biryani
25.0,55,168,Male,Biryani
26.0,76,174.1,Male,Samosa
31.0,68,164.6,Male,Samosa
32.0,57,167.64,Male,Biryani
21.0,81,180.33,Male,Biryani
31.0,80,182.5,Male,Biryani
28.0,68,157,Male,Biryani
28.0,63.4,154,Male,Samosa
27.0,67,177.8,Male,Biryani
24.0,50,152.4,Female,Biryani
19.0,50.4,152,Male,Biryani
34.0,58,133.7,Male,Biryani
22.0,67,181,Male,Biryani
27.0,75,152.4,Male,Biryani
31.0,86,179.5,Male,Pakora
33.0,86,169,Male,Biryani
33.0,46.7,158.5,Female,Biryani
21.0,45,165.1,Female,Biryani
29.0,6,154.5,Female,Biryani
21.0,62,166,Male,Biryani
26.0,90,188,Male,Biryani
27.0,101,186,,Biryani
42.0,179,170,Male,Biryani
25.0,88,185,Male,Biryani
29.0,73,179,Male,Samosa
21.0,50,171,Male,Samosa
44.0,78,172,Male,Biryani
28.0,84,177.8,Male,Biryani
30.0,67,180,Male,Biryani
40.0,71,165,Male,Pakora
28.0,96,173,Male,Biryani
26.0,70,151,Male,Biryani
30.0,88,178,Male,Samosa
29.0,84,182,Male,Biryani
26.0,90,164.59,Male,Biryani
50.0,88,188,Male,Biryani
35.0,75,179.8,Male,Pakora
31.0,86,179.5,Male,Samosa
24.0,82,175,Male,Biryani
21.0,68,157,Male,Biryani
39.0,53,157,Male,Pakora
