No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012.92,32.00,84.88,10.00,24.98,121.54,37.90
2,2012.92,19.50,306.59,9.00,24.98,121.54,42.20
3,2013.58,13.30,561.98,5.00,24.99,121.54,47.30
4,2013.50,13.30,561.98,5.00,24.99,121.54,54.80
5,2012.83,5.00,390.57,5.00,24.98,121.54,43.10
6,2012.67,7.10,2175.03,3.00,24.96,121.51,32.10
7,2012.67,34.50,623.47,7.00,24.98,121.54,40.30
8,2013.42,20.30,287.60,6.00,24.98,121.54,46.70
9,2013.50,31.70,5512.04,1.00,24.95,121.48,18.80
10,2013.42,17.90,1783.18,3.00,24.97,121.51,22.10
11,2013.08,34.80,405.21,1.00,24.97,121.53,41.40
12,2013.33,6.30,90.46,9.00,24.97,121.54,58.10
13,2012.92,13.00,492.23,5.00,24.97,121.54,39.30
14,2012.67,20.40,2469.65,4.00,24.96,121.51,23.80
15,2013.50,13.20,1164.84,4.00,24.99,121.53,34.30
16,2013.58,35.70,579.21,2.00,24.98,121.55,50.50
17,2013.25,0.00,293.00,6.00,24.98,121.54,70.10
18,2012.75,17.70,350.85,1.00,24.98,121.53,37.40
19,2013.42,16.90,368.14,8.00,24.97,121.54,42.30
20,2012.67,1.50,23.38,7.00,24.97,121.54,47.70
21,2013.42,4.50,2275.88,3.00,24.96,121.51,29.30
22,2013.42,10.50,279.17,7.00,24.98,121.55,51.60
23,2012.92,14.70,1360.14,1.00,24.95,121.55,24.60
24,2013.08,10.10,279.17,7.00,24.98,121.55,47.90
25,2013.00,39.60,480.70,4.00,24.97,121.54,38.80
26,2013.08,29.30,1487.87,2.00,24.98,121.52,27.00
27,2012.67,3.10,383.86,5.00,24.98,121.54,56.20
28,2013.25,10.40,276.45,5.00,24.96,121.54,33.60
29,2013.50,19.20,557.48,4.00,24.97,121.54,47.00
30,2013.08,7.10,451.24,5.00,24.98,121.55,57.10
31,2013.50,25.90,4519.69,0.00,24.95,121.50,22.10
32,2012.75,29.60,769.40,7.00,24.98,121.53,25.00
33,2012.75,37.90,488.57,1.00,24.97,121.53,34.20
34,2013.25,16.50,323.66,6.00,24.98,121.54,49.30
35,2012.75,15.40,205.37,7.00,24.98,121.54,55.10
36,2013.50,13.90,4079.42,0.00,25.01,121.52,27.30
37,2012.92,14.70,1935.01,2.00,24.96,121.51,22.90
38,2013.17,12.00,1360.14,1.00,24.95,121.55,25.30
39,2012.67,3.10,577.96,6.00,24.97,121.55,47.70
